blockNum	trialNum	condition	pWin1	pWin2	optimalResponse	preStimulusDelay	responded	response	rt	preFeedbackDelay	outcome	optimal
1	1	2	0.6	0.1	1	0.4718202376783978	0	n/a	n/a	n/a	n/a	n/a
1	2	2	0.6	0.1	1	0.4194624232883711	1	1	1.233741700067185	0.5091274557855785	2	1
1	3	2	0.6	0.1	1	0.5527947870112252	1	1	1.480040000053123	0.5420122707965396	2	1
1	4	2	0.6	0.1	1	0.5143304935758573	1	2	1.421386700007133	0.4738180920660957	2	0
1	5	2	0.6	0.1	1	0.4473487301662271	1	2	1.238552000024356	0.4375621325849917	2	0
1	6	2	0.6	0.1	1	0.5654158836945278	1	1	1.133495600079186	0.5695295820855639	2	1
1	7	2	0.6	0.1	1	0.4081364248431179	1	2	1.208553600008599	0.5092845232275596	2	0
1	8	2	0.6	0.1	1	0.5146451003519961	1	2	0.8060800000093877	0.505802385032788	2	0
1	9	2	0.6	0.1	1	0.5073673164230078	1	2	0.9789977999171242	0.5618530091595126	2	0
1	10	2	0.6	0.1	1	0.5478694823835382	1	1	0.9980532999616116	0.5114916303210059	1	1
1	11	2	0.6	0.1	1	0.4335749911565817	1	2	1.402112300042063	0.5644475416755232	2	0
1	12	2	0.6	0.1	1	0.4758621999075493	1	1	1.050054299994372	0.4200049648351864	1	1
1	13	2	0.6	0.1	1	0.4911950661459777	1	1	1.360788299934939	0.5353384541319055	2	1
1	14	2	0.6	0.1	1	0.5193930585815141	1	2	1.280129700084217	0.4354403489375837	2	0
1	15	2	0.6	0.1	1	0.5811937598371566	1	2	0.7670383999357	0.5748389540110734	2	0
1	16	2	0.6	0.1	1	0.5671347854603105	1	2	1.187401000061072	0.4719499519897155	2	0
1	17	2	0.6	0.1	1	0.4012965357129488	1	1	0.5701141000026837	0.4447429495052658	1	1
1	18	2	0.6	0.1	1	0.5055055719049432	1	2	0.8843152000335976	0.547338891063436	2	0
1	19	2	0.6	0.1	1	0.4104608412470305	1	1	0.3199298999970779	0.5364258351254456	2	1
1	20	2	0.6	0.1	1	0.5379682760888811	1	1	0.5727467000251636	0.5986214458982722	1	1
2	1	1	0.5	0.5	1	0.4376419801039295	1	2	0.6898341999622062	0.4446201959608581	2	0
2	2	1	0.5	0.5	1	0.5811267643585292	1	1	1.406753499992192	0.4938705946505126	2	1
2	3	1	0.5	0.5	1	0.5515556583832916	1	2	0.6269842000911012	0.5247468789092067	2	0
2	4	1	0.5	0.5	1	0.4207057170072295	1	2	0.4869208000600338	0.417276396384555	1	0
2	5	1	0.5	0.5	1	0.5517817011103825	1	1	0.5091597000136971	0.4045772488304078	2	1
2	6	1	0.5	0.5	1	0.4479050675261243	1	1	1.680955999996513	0.4273421931309045	2	1
2	7	1	0.5	0.5	1	0.5723839306901808	1	2	0.3301851000869647	0.4688989378797432	1	0
2	8	1	0.5	0.5	1	0.5806548563251747	1	1	0.8393865000689402	0.408473903279041	2	1
2	9	1	0.5	0.5	1	0.5544769978694242	1	2	0.2616417000535876	0.5483926065869658	2	0
2	10	1	0.5	0.5	1	0.5457358381913082	1	2	0.9117346999701113	0.4362544060829581	2	0
2	11	1	0.5	0.5	1	0.585307797468716	1	1	0.6783632999286056	0.4854467123947932	1	1
2	12	1	0.5	0.5	1	0.5250628270517734	1	2	1.07282799994573	0.5369256079802118	2	0
2	13	1	0.5	0.5	1	0.4061024987772971	1	2	1.495140899904072	0.5439032595468912	2	0
2	14	1	0.5	0.5	1	0.4755090352916401	1	1	0.7950520999729633	0.5896187145926851	2	1
2	15	1	0.5	0.5	1	0.530205890050119	1	1	1.260752400034107	0.5892657914104094	2	1
2	16	1	0.5	0.5	1	0.5021509460609619	1	2	0.2588073000079021	0.5631384803760811	1	0
2	17	1	0.5	0.5	1	0.4139235364801395	1	2	1.376912400010042	0.5343879799988086	2	0
2	18	1	0.5	0.5	1	0.588157929341577	1	2	1.128637199988589	0.5772196207443427	2	0
2	19	1	0.5	0.5	1	0.5002999316375063	1	1	0.8302248000400141	0.5332425519262798	2	1
2	20	1	0.5	0.5	1	0.5759700862544466	1	2	0.9962896999204531	0.5405449945997198	2	0
3	1	2	0.6	0.1	1	0.5049318039968198	1	1	1.170394100015983	0.4388279490093017	1	1
3	2	2	0.6	0.1	1	0.5679339311855848	1	2	0.8476517000235617	0.4674261086611519	2	0
3	3	2	0.6	0.1	1	0.4062989522021021	1	2	0.5311887999996543	0.4377732484396425	2	0
3	4	2	0.6	0.1	1	0.4455348060513017	1	2	0.5435988999670371	0.404472181168438	2	0
3	5	2	0.6	0.1	1	0.4349446669586077	1	1	0.2371642999351025	0.5350306815272916	2	1
3	6	2	0.6	0.1	1	0.4259311069547675	1	1	1.973847099929117	0.5843080206029956	1	1
3	7	2	0.6	0.1	1	0.4061885499732776	1	1	1.421590300044045	0.5839905532207281	1	1
3	8	2	0.6	0.1	1	0.4787122064741945	1	1	1.387921800022013	0.4356072484739917	2	1
3	9	2	0.6	0.1	1	0.4292518868092583	1	2	0.2652807999402285	0.5425084112703653	2	0
3	10	2	0.6	0.1	1	0.5467041814818639	1	1	0.2488088000100106	0.4914534417467055	1	1
3	11	2	0.6	0.1	1	0.5024113790278318	1	2	0.5230379001004621	0.5691870400473592	2	0
3	12	2	0.6	0.1	1	0.5307833010618774	1	1	0.5826944999862462	0.4196382438528956	1	1
3	13	2	0.6	0.1	1	0.4956788987108829	1	1	0.986972099984996	0.4759837387005361	2	1
3	14	2	0.6	0.1	1	0.4760847082605286	1	2	0.7037430999334902	0.5910863609365659	2	0
3	15	2	0.6	0.1	1	0.5767390108325818	1	1	0.3595984999556094	0.5160535192681551	2	1
3	16	2	0.6	0.1	1	0.4231685547567277	1	2	1.585738699999638	0.5708529324318359	2	0
3	17	2	0.6	0.1	1	0.4005004489349649	1	1	0.7451853000093251	0.5597750507681951	1	1
3	18	2	0.6	0.1	1	0.4315354458610672	1	1	0.7977302999934182	0.4722232830620962	1	1
3	19	2	0.6	0.1	1	0.59500814792445	1	1	1.085722799994983	0.5256037645300617	1	1
3	20	2	0.6	0.1	1	0.4357702852185151	1	1	0.756843899958767	0.5384406725670804	1	1
4	1	2	0.6	0.1	1	0.5800278812756532	1	2	0.6916888999985531	0.5832765048477522	2	0
4	2	2	0.6	0.1	1	0.5129159385810311	0	n/a	n/a	n/a	n/a	n/a
4	3	2	0.6	0.1	1	0.5090665048965455	1	2	0.4016558999428526	0.5403237310238473	2	0
4	4	2	0.6	0.1	1	0.4739991152202193	1	1	0.3190036000451073	0.4861489411606674	2	1
4	5	2	0.6	0.1	1	0.5232771806599816	1	1	1.492040299926884	0.5143283899589077	2	1
4	6	2	0.6	0.1	1	0.5926347346762358	1	1	0.3079910000087693	0.5979433202715673	1	1
4	7	2	0.6	0.1	1	0.4592241350383964	1	2	0.7195808999240398	0.58692894505889	2	0
4	8	2	0.6	0.1	1	0.4994700505276141	1	2	1.126657800050452	0.4063332463326605	1	0
4	9	2	0.6	0.1	1	0.4450193431974201	1	1	1.017747399979271	0.5886198246820085	1	1
4	10	2	0.6	0.1	1	0.4313497323883837	1	2	0.6479138999711722	0.4304633077683357	2	0
4	11	2	0.6	0.1	1	0.4023537883734793	1	2	0.2682500999653712	0.5729854317150136	2	0
4	12	2	0.6	0.1	1	0.5305976018525946	1	2	1.312542299972847	0.5338404865292737	2	0
4	13	2	0.6	0.1	1	0.5859972614233833	1	1	0.7814327999949455	0.5620412835951524	2	1
4	14	2	0.6	0.1	1	0.534350363946734	1	1	0.8277704000938684	0.4074372440417308	2	1
4	15	2	0.6	0.1	1	0.5553332382573404	1	2	0.636356099974364	0.5025724222074071	2	0
4	16	2	0.6	0.1	1	0.5742412934321341	1	1	0.8970104999607429	0.4983667455434891	2	1
4	17	2	0.6	0.1	1	0.4555894933028286	1	2	0.7566111000487581	0.5493364499385384	2	0
4	18	2	0.6	0.1	1	0.4117647593709685	1	1	1.013464700081386	0.5975966925638345	1	1
4	19	2	0.6	0.1	1	0.5631926373420636	1	2	0.5191612000344321	0.4653764171760513	1	0
4	20	2	0.6	0.1	1	0.4514705175000557	1	2	0.8822256999555975	0.4016345791010224	2	0
5	1	1	0.5	0.5	1	0.4058856129991575	1	1	1.108604699955322	0.4515100737571077	1	1
5	2	1	0.5	0.5	1	0.5858410816396989	1	1	0.9800764999818057	0.5779023173888531	2	1
5	3	1	0.5	0.5	1	0.5224774054205995	1	2	0.7698791000293568	0.4603606093659423	2	0
5	4	1	0.5	0.5	1	0.4861329074427305	1	1	1.221872300026007	0.4611263893642791	1	1
5	5	1	0.5	0.5	1	0.4637507799781607	1	1	0.8403500000713393	0.5885035315582337	2	1
5	6	1	0.5	0.5	1	0.5667768157023949	1	1	0.8996329000219703	0.4300667531054497	1	1
5	7	1	0.5	0.5	1	0.5801831216037697	1	2	1.511330600013025	0.594913474940046	2	0
5	8	1	0.5	0.5	1	0.4027849325078172	1	2	0.3553765000542626	0.5341109038814301	1	0
5	9	1	0.5	0.5	1	0.5184790619155351	1	1	0.5016940999776125	0.5111307419292125	2	1
5	10	1	0.5	0.5	1	0.5398597291996986	1	2	0.5683865000028163	0.5936747603859712	2	0
5	11	1	0.5	0.5	1	0.4434506755597296	1	1	1.122856299974956	0.5178050032512325	2	1
5	12	1	0.5	0.5	1	0.5567742429655987	1	2	0.8095468000974506	0.407032599072437	2	0
5	13	1	0.5	0.5	1	0.5686146487285527	1	2	0.5615567000349984	0.5354659958710126	1	0
5	14	1	0.5	0.5	1	0.5556234742197392	1	2	0.799778199987486	0.4632925066124919	1	0
5	15	1	0.5	0.5	1	0.5788035002064933	1	1	0.441306299995631	0.5177148123967101	1	1
5	16	1	0.5	0.5	1	0.4236141041435384	1	1	0.663668500026688	0.4421402197818636	2	1
5	17	1	0.5	0.5	1	0.5123560370349818	1	1	1.033521300065331	0.4404320044567773	1	1
5	18	1	0.5	0.5	1	0.5540833074505531	1	2	0.7653882999438792	0.538748179812076	1	0
5	19	1	0.5	0.5	1	0.4342182054333059	1	2	0.7931592999957502	0.5247189987679214	2	0
5	20	1	0.5	0.5	1	0.5927946690254704	1	2	0.8466168999439105	0.425251071832743	2	0
6	1	1	0.5	0.5	1	0.4564362895733933	1	1	1.086447500041686	0.5033024895565748	2	1
6	2	1	0.5	0.5	1	0.5585857043643974	1	2	0.8928133000154048	0.470104495249664	2	0
6	3	1	0.5	0.5	1	0.5783045142498475	1	2	0.6570414000889286	0.5523843018114329	2	0
6	4	1	0.5	0.5	1	0.5735784242886001	1	1	1.30381099996157	0.5782475641742024	2	1
6	5	1	0.5	0.5	1	0.5203574343406729	1	2	0.9417506000027061	0.4785421316279748	1	0
6	6	1	0.5	0.5	1	0.5688523513735322	1	2	0.7578509000595659	0.4232103252082939	2	0
6	7	1	0.5	0.5	1	0.436444736478076	1	2	0.4186149999732152	0.5650862665883563	1	0
6	8	1	0.5	0.5	1	0.5038665942182473	1	1	0.7406473000301048	0.4407527591435234	2	1
6	9	1	0.5	0.5	1	0.5304656096639241	1	2	0.9209787999279797	0.4551335297204188	1	0
6	10	1	0.5	0.5	1	0.4009954250020538	1	1	1.208527200040407	0.5166245671680912	2	1
6	11	1	0.5	0.5	1	0.4308275174197155	1	2	1.119123199954629	0.506918652097295	1	0
6	12	1	0.5	0.5	1	0.4666819865158125	1	2	1.584561600000598	0.4654718832904932	2	0
6	13	1	0.5	0.5	1	0.5836411925275597	1	1	0.3740873000351712	0.5152770515132288	2	1
6	14	1	0.5	0.5	1	0.4573819549002577	1	2	0.613896599970758	0.5937288527522324	2	0
6	15	1	0.5	0.5	1	0.5787296553119097	1	1	0.8590400000102818	0.5090217790119944	1	1
6	16	1	0.5	0.5	1	0.5203812396359653	1	2	0.6131290999474004	0.5283952399607388	1	0
6	17	1	0.5	0.5	1	0.4385849134114987	1	1	0.3491266999626532	0.5395899218873172	2	1
6	18	1	0.5	0.5	1	0.4003354468455766	1	2	0.3857354000210762	0.479683484540059	2	0
6	19	1	0.5	0.5	1	0.5626865777814014	1	2	0.5373666000086814	0.4491588890572898	2	0
6	20	1	0.5	0.5	1	0.4256211163650601	1	2	0.5667142000747845	0.402426046320151	2	0
7	1	2	0.6	0.1	1	0.5523888183997399	1	1	0.7359473999822512	0.5513928561488145	2	1
7	2	2	0.6	0.1	1	0.4850649882666134	1	2	0.6484923000680283	0.5436276589964703	2	0
7	3	2	0.6	0.1	1	0.4680839427607445	1	2	1.414192599942908	0.4819744167635017	2	0
7	4	2	0.6	0.1	1	0.5665617418074739	1	1	1.011709999991581	0.5454851716960605	1	1
7	5	2	0.6	0.1	1	0.5464391739266206	1	1	1.230745100066997	0.454563389131964	2	1
7	6	2	0.6	0.1	1	0.5223844091606303	1	2	0.9174438000191003	0.4172710477104841	2	0
7	7	2	0.6	0.1	1	0.4431983539155468	1	2	0.4087240999797359	0.4240563727867803	2	0
7	8	2	0.6	0.1	1	0.5210347126331071	1	2	1.693455000058748	0.4910262196684463	2	0
7	9	2	0.6	0.1	1	0.5266199903391272	1	2	0.3175478000193834	0.5472878489327498	2	0
7	10	2	0.6	0.1	1	0.4090808831773628	1	1	0.395323200034909	0.5238993246778427	2	1
7	11	2	0.6	0.1	1	0.4668078771988753	1	1	1.278144299983978	0.4414577335174106	2	1
7	12	2	0.6	0.1	1	0.5500135039961043	1	2	0.6994706999976188	0.5817945405361753	1	0
7	13	2	0.6	0.1	1	0.502937488136868	1	2	1.59365220007021	0.4039779776277189	2	0
7	14	2	0.6	0.1	1	0.5511546977211679	1	1	0.825509300106205	0.4955464105825133	2	1
7	15	2	0.6	0.1	1	0.5626401396359146	1	2	0.7684583000373095	0.5504877270924348	2	0
